rowID,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
03335576-abd6-418a-9594-6cff59b9c7ad,EquiTie,https://www.eu-startups.com/investor/equitie/,VC Firm,"FinTech, InsurTech, RegTech, PropTech",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
44e2c084-76bc-4a51-954c-fd45b0ba847a,Arete Capital Partners,https://www.eu-startups.com/investor/arete-capital-partners/,VC Firm,"Healthtech, Medtech, AI and machine learning, Digital health",€1.5M-€3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
f8c0b081-5041-4752-a3f5-9d7694e91210,Feel Venture,https://www.eu-startups.com/investor/feel-venture/,VC Firm,"Deeptech, Artificial Intelligence, SaaS , Healthtec",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
64f89a33-e719-411e-a800-bcae24a82406,ESKEYN Ventures,https://www.eu-startups.com/investor/eskeyn-ventures/,VC Firm,"Incubators, Business Consulting, Private Equity, Venture Capital, Capital Markets",€100k-€1.5M,Series A/B
18f3b957-f4d6-4958-8d87-29199b5ec2de,Cur8 Capital,https://www.eu-startups.com/investor/cur8-capital/,VC Firm,"Biotech, Healthcare innovation, Life sciences, Medical devices",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
89614c44-04ac-4075-ac37-64ccd290c7c5,Fourteen17,https://www.eu-startups.com/investor/fourteen17/,VC Firm,"Consulting,Start-ups, Emerging Businesses, Growth Capital, Management Advice, Business Contacts",€100k-€1.5M,Series A/B
9ba1b817-d7c2-405e-9b3b-652324f963e3,Slack Venture Capital,https://www.eu-startups.com/investor/slack-venture-capital/,VC Firm,"Financial Services, FinTech, Venture Capital",Above €3M,Series A/B
9945ae26-ae0a-42ea-8154-07ed772045c6,EHE Capital,https://www.eu-startups.com/investor/ehe-capital/,VC Firm,"Impact investing, Sustainability, Social innovation, Ethical technology",€100k-€1.5M,Pre-Seed / Seed
c43b7ed9-b7e2-4451-be4b-17d12705249d,Puma Investments,https://www.eu-startups.com/investor/puma-investments/,VC Firm,"Art Consulting , Corporate Art , Residential Art, Hospitality Art, Healthcare Art",€100k-€1.5M,Series A/B
cd44fcb2-58cf-49a7-b3e6-551f801d744c,Vektor Partners,https://www.eu-startups.com/investor/vektor-partners/,VC Firm,"Healthtech, Medtech, Artificial intelligence, Digital health",Above €3M,"Pre-Seed / Seed, Series A/B"
7f2afa96-bf0f-4258-94fc-0d194a0ad521,Westerly Winds,https://www.eu-startups.com/investor/westerly-winds/,VC Firm,"Sustainable agriculture, Renewable energy, Clean technology, Environmental conservation",Above €3M,Pre-Seed / Seed
d7aa9f40-d09a-4ebd-81bd-67c3e4561cc9,First Look Capital,https://www.eu-startups.com/investor/first-look-capital/,VC Firm,"Medtech, AI & Machine Learning, Health IT, Digital Health",€100k-€1.5M,Pre-Seed / Seed
faeaa6c5-18a3-4b67-86c6-2b38a259c61b,Walking Ventures,https://www.eu-startups.com/investor/walking-ventures/,VC Firm,"Internet Startups, Mobile Startups, Early-Stage Companies, Big Market Opportunities, Strong Teams",€1.5M-€3M,"Pre-Seed / Seed, Series A/B"
00d00367-0cac-4647-bcf1-9fe4090f7fb4,Begin Capital,https://www.eu-startups.com/investor/begin-capital/,VC Firm,"B2B, Cloud Infrastructure, Cyber Security, Database, Education, FinTech, Marketplace",€1.5M-€3M,"Pre-Seed / Seed, Series A/B"
c71a7161-1e80-4c68-beb3-718ef1eb8dfb,Inference Partners,https://www.eu-startups.com/investor/inference-partners/,VC Firm,"Artificial Intelligence, Data Analytics, Machine Learning, Enterprise Software",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
a2a805b9-5ee9-488c-b864-e225b7f7b352,Creator Fund,https://www.eu-startups.com/investor/creator-fund/,VC Firm,"Content creation tools, Creator economy platforms, Digital media, Social commerce",€1.5M-€3M,"Pre-Seed / Seed, Series A/B"
e4a0dd27-38a1-4b0b-bc77-f9b94b343512,Form Ventures,https://www.eu-startups.com/investor/form-ventures/,VC Firm,"Proptech, Fintech, SaaS, Marketplaces",€1.5M-€3M,"Pre-Seed / Seed, Series A/B"
b63c06c1-e2cb-4d16-940f-019a3dc8641b,13books Capital,https://www.eu-startups.com/investor/13books-capital/,VC Firm,"B2B, Financial Services, FinTech, Information Technology, Venture Capital",€1.5M-€3M,Pre-Seed / Seed
f0dcf0a1-edd0-4094-9b8a-49b003806602,Deeptech Labs,https://www.eu-startups.com/investor/deeptech-labs-2/,Accelerator,"AgTech, Artificial Intelligence (AI), FinTech, GreenTech, Internet of Things, Machine Learning, Quantum Computing, Robotics, Security, Semiconductor",€100k-€1.5M,Pre-Seed / Seed
f98033bf-90d3-4173-bf15-e12f216d3817,Zero Carbon Capital,https://www.eu-startups.com/investor/zero-carbon-capital/,VC Firm,CleanTech,€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
24c1f686-a45f-4c06-b4ea-d30e420730e0,Waveline Ventures,https://www.eu-startups.com/investor/waveline-ventures/,VC Firm,"Construction, Real Estate, Software, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
be2cbdf6-ce38-4f9b-b04f-6909770f54a9,Moonfire Ventures,https://www.eu-startups.com/investor/moonfire-ventures/,VC Firm,"fintech, digital health, future of work, marketplaces.",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
8c05f535-c8db-4448-ae32-14b1882f6dd0,Air Street Capital,https://www.eu-startups.com/investor/air-street-capital/,VC Firm,"Fintech, Consumer tech, Future of work, Digital health",€1.5M-€3M,"Pre-Seed / Seed, Series A/B"
5572328c-1753-4dda-af2d-ac132a1d92bb,NordicNinja VC,https://www.eu-startups.com/investor/nordicninja-vc/,VC Firm,"Healthtech, Deeptech, Artificial Intelligence, Sustainability",Above €3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
5f7a8ce4-ebb0-4acf-90ef-6ce43b37011f,Seek Ventures,https://www.eu-startups.com/investor/seek-ventures/,VC Firm,"Healthtech, Clean Energy, Artificial Intelligence and Machine Learning, Consumer Technology",€1.5M-€3M,"Pre-Seed / Seed, Series A/B, Series C & Beyond"
4cbf40e6-e3da-4b37-b642-61178a9a69ad,Systema nova,https://www.eu-startups.com/investor/systema-nova/,VC Firm,"healthtech, deeptech, artificial intelligence, sustainability sectors",€100k-€1.5M,Pre-Seed / Seed
5efb0ee5-fff4-4c6b-a24d-2cc42ecac121,Volta Circle,https://www.eu-startups.com/investor/volta-circle/,VC Firm,"Healthtech, AI & Machine Learning, Sustainability & Clean Energy, Fintech",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
26d888f7-de2c-49fc-b1a7-0adf7c0431bc,Pretiosum Ventures,https://www.eu-startups.com/investor/pretiosum-ventures/,VC Firm,"Healthtech, AI & Machine Learning, Sustainability & Cleantech, Fintech",€100k-€1.5M,Pre-Seed / Seed
e3edf604-ad2c-48b1-b0a8-2ef4676afb59,Blue Lake,https://www.eu-startups.com/investor/blue-lake-2/,VC Firm,"Healthtech, Artificial Intelligence, SaaS, Digital Health",€100k-€1.5M,Pre-Seed / Seed
68e25d8f-13f2-4301-b110-4f33a4e9837b,Semantic Capital,https://www.eu-startups.com/investor/semantic-capital-2/,VC Firm,"Medtech, Deep Tech, Fintech, Clean Energy",€1.5M-€3M,Pre-Seed / Seed
80b47fc8-013f-4113-a7ab-768347f8c949,Voyagers,https://www.eu-startups.com/investor/voyagers/,VC Firm,"Adventure Travel, Service Industry, Travel",€100k-€1.5M,Pre-Seed / Seed
e1d6c86e-0282-4706-bed2-b84d53ee22d2,Micota Capital,https://www.eu-startups.com/investor/micota-capital/,VC Firm,"Financial Contracts, Investing, Finance, Insurance, B2C, B2B",Above €3M,Series A/B
b46672a1-dc72-4fb8-8745-a11fe6a0dad1,Paper Ventures,https://www.eu-startups.com/investor/paper-ventures/,VC Firm,"Artificial Intelligence (AI), Bitcoin, Blockchain, Cryptocurrency, Software, Web3",€100k-€1.5M,Pre-Seed / Seed
fc41d9b3-e392-473c-957a-0aca32806c98,Scalebridge Capital,https://www.eu-startups.com/investor/scalebridge-capital/,VC Firm,"AgTech, Artificial Intelligence (AI), Construction, Data Management, FinTech, Health Care, Industrial Automation, Legal Tech, Supply Chain Management, Warehouse Automation",€100k-€1.5M,"Pre-Seed / Seed, Series A/B"
