rowID,Country,Country Code,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
ef91c8ec-dce1-4823-8128-5c3aa4e0abc4,Austria,AT,Seedraisr,https://www.eu-startups.com/investor/accelerator-incubator-micro-vc/,Accelerator,"Fundraising, Artificial Intelligence (AI), CleanTech, Marketplace, SaaS",0-€100k,Pre-Seed / Seed
dbdc449f-f775-4f40-915c-00c9370b0875,Austria,AT,Next Floor,https://www.eu-startups.com/investor/next-floor/,Accelerator,"Financial Services, Venture Capital, Private Equity Principals, Sustainability",0-€100k,Pre-Seed / Seed
77566775-3759-41b2-8381-823e177ef10a,Austria,AT,Next Monday Ventures,https://www.eu-startups.com/investor/next-monday-ventures-2/,Accelerator,"E-Commerce, Finance, Health Care, Information Technology, Marketing",0-€100k,Pre-Seed / Seed
7dad003b-1d06-45f5-90a7-084b8a18d194,Austria,AT,SBA Research,https://www.eu-startups.com/investor/sba-research/,Accelerator,"Information Security Research, Information Security Consulting, IT Security, IoT, AI",0-€100k,Pre-Seed / Seed
890900b9-eff0-43f6-95f2-b1fbbcb808ad,Austria,AT,Science Park Graz,https://www.eu-startups.com/investor/science-park-graz/,Accelerator,"Incubators, Ecosystem, Entrepreneurship, Space, Funding",0-€100k,Pre-Seed / Seed
64cc0983-2ab0-4128-b40b-0286041eb43c,Austria,AT,MAD Ventures,https://www.eu-startups.com/investor/mad-ventures/,Accelerator,"Consulting, Company building, Finances, Strategy, Value creation",0-€100k,Pre-Seed / Seed
6baac16b-8fe3-49ee-aa9e-4a363ec0c351,Austria,AT,tech2b Inkubator,https://www.eu-startups.com/investor/tech2b-inkubator/,VC Firm,"Spin-off Consulting, Female Founders Network, Green Startups, Startup Incubation, Early-Stage Startups",0-€100k,Pre-Seed / Seed
7e005abc-4432-4523-8e59-c58cf422fe0a,Austria,AT,Female Founders,https://www.eu-startups.com/investor/female-founders/,Accelerator,"Investment, Funding, Consulting, Finance",0-€100k,Pre-Seed / Seed
3d3e64ba-9e58-47a6-9250-abee28c282db,Austria,AT,Up to Eleven Digital Solutions,https://www.eu-startups.com/investor/up-to-eleven-digital-solutions/,VC Firm,"Finance, Financial Services, Incubators, Venture Capital",0-€100k,Pre-Seed / Seed
82f28296-2cf2-4443-8eac-cf2be2fefdc6,Austria,AT,DuckDAO,https://www.eu-startups.com/investor/duckdao/,Accelerator,"Incubator, Decentralized Crypto VC, Launchpad, Blockchain, Crypto",0-€100k,Pre-Seed / Seed
012e7df7-ab0e-41a8-8866-c67b973b89dd,Austria,AT,King’s 20 Accelerator,https://www.eu-startups.com/investor/kings-20-accelerator/,Accelerator,"Research Services, Education, Learning, School",0-€100k,Pre-Seed / Seed
bda5abb9-fb21-4664-8678-857c094bb1eb,Austria,AT,Kingsley Ventures,https://www.eu-startups.com/investor/kingsley-ventures/,Accelerator,"Investment , Technology, Market, Approach",0-€100k,Pre-Seed / Seed
68db8925-29a1-4a57-a14e-069b28c3ef48,Austria,AT,Joyn Ventures,https://www.eu-startups.com/investor/joyn-ventures/,Accelerator,"Investment Management, Business Accelerator, Startups, Marketing",0-€100k,Pre-Seed / Seed
37158de0-b230-4fbf-81d6-f9361ad5d83d,Austria,AT,ISE Accelerator & Venture Capital Firm,https://www.eu-startups.com/investor/ise-accelerator-venture-capital-firm-2/,Accelerator,"AgTech, FinTech, Internet of Things, Retail, SaaS",0-€100k,Pre-Seed / Seed
492a5dc2-626a-49ca-a2df-a0016924d971,Austria,AT,ISE Accelerator & Venture Capital Firm,https://www.eu-startups.com/investor/ise-accelerator-venture-capital-firm/,Accelerator,"AgTech, FinTech, Internet of Things, Retail, SaaS",0-€100k,Pre-Seed / Seed
c4220cb4-b63b-4243-a460-3ad4894da95f,Austria,AT,Zentrum Für Angewandte Technologie,https://www.eu-startups.com/investor/zentrum-fur-angewandte-technologie/,VC Firm,"Coaching, Financial Services, Lending, Investments, Incubators",0-€100k,Pre-Seed / Seed
8543c05c-5d1a-4140-bd25-2883d908eb73,Austria,AT,Zajl,https://www.eu-startups.com/investor/zajl/,VC Firm,"Business Intelligence , Project Management, Project Development, Business Setup, Virtual Address",0-€100k,Pre-Seed / Seed
cf2c77d5-3e4d-4e0d-8f24-efc23422a92f,Austria,AT,weXelerate,https://www.eu-startups.com/investor/wexelerate/,VC Firm,"Infrastructure, AI, Entrepreneurship, Innovation, Banking",0-€100k,Pre-Seed / Seed
403fba1a-6e37-464e-8276-347389a0ace7,Austria,AT,Frequentis,https://www.eu-startups.com/investor/frequentis/,Accelerator,"Air Traffic Management, Cyber security, Digital Tower, Voice Communications, Railways",0-€100k,Pre-Seed / Seed
329dfb83-2262-4d08-9904-100c77b0ebf6,Austria,AT,Werkstaette Wattens,https://www.eu-startups.com/investor/werkstaette-wattens/,VC Firm,"Regional development, education, business location, mobility, applied research",0-€100k,Pre-Seed / Seed
b69260dd-8e70-4dda-90d7-465e8a9dafe9,Austria,AT,INiTS Gründerservice,https://www.eu-startups.com/investor/inits-grunderservice/,Accelerator,"Start-ups consulting, Investment, IPR, Entrepreurship, Coworking-Space",0-€100k,Pre-Seed / Seed
4b63d734-1f25-455e-99e7-fcdbdbea4a77,Austria,AT,Venturr,https://www.eu-startups.com/investor/venturr/,VC Firm,"B2b, AI, Investment, Data, Analytics",0-€100k,Pre-Seed / Seed
4f12367b-1c08-445e-bace-c8abf801b62e,Austria,AT,Gold Ventures Incubator,https://www.eu-startups.com/investor/gold-ventures-incubator/,Accelerator,"Venture Capital, Early Stage Funding, Business Development, Entrepreneurship, Software Development",0-€100k,Pre-Seed / Seed
f35d0ad0-309c-4189-985b-a8128cf399e3,Austria,AT,Growth Ninjas,https://www.eu-startups.com/investor/growth-ninjas/,Accelerator,"Sales Development, Digital solutions, Process optimization, Growth Hacking",0-€100k,Pre-Seed / Seed
f5a4987f-8731-4c8a-b500-c801c3696b15,Austria,AT,Hatch Blue,https://www.eu-startups.com/investor/hatch-blue/,Accelerator,"Aquaculture, Accelerator, Investment, entrepreneurship, Technology",0-€100k,Pre-Seed / Seed
94ced4e5-4d20-404e-b21b-04f3da54fe03,Austria,AT,C5 Capital,https://www.eu-startups.com/investor/c5-capital/,Accelerator,"Investment, Finance, Financial Services, Venture Capital",0-€100k,Pre-Seed / Seed
59d6dc36-3ffa-43e5-a6da-2010a1836957,Austria,AT,IMPACT Growth,https://www.eu-startups.com/investor/impact-growth/,Accelerator,"Entrepreneurship, Startups, Acceleration, Funding, Internationalization",0-€100k,Pre-Seed / Seed
f10eb54d-c19c-4b72-9ee1-77e4b373945f,Austria,AT,Impact Hub,https://www.eu-startups.com/investor/impact-hub/,Accelerator,"Communities, Events, Incubators, Social enterprise, Event programming",0-€100k,Pre-Seed / Seed
3da312e8-7093-4bfc-8daa-4b44f929227c,Austria,AT,Impulse Partners,https://www.eu-startups.com/investor/impulse-partners/,VC Firm,"Construction, Industrial Engineering, Infrastructure, Real Estate, Smart Building",0-€100k,Pre-Seed / Seed
44af6d85-7a9a-44fa-9526-c89164206ee9,Austria,AT,1MillionStartups,https://www.eu-startups.com/investor/1millionstartups/,Accelerator,"Investment Management, FinTech, Sustainable, Investing",0-€100k,Pre-Seed / Seed
