rowID,Name,Profile Link,Investor Type,Investment Areas,Typical Investment,Funding Stage
81ca13cd-daa6-428b-907c-f1729a383ead,Urania Ventures,https://www.eu-startups.com/investor/urania-ventures/,VC Firm,"Deep-Tech, Space-Tech, Space",€100k-€1.5M,Pre-Seed / Seed
6b76b3d1-627e-4a5f-9f93-4ee91bdf408e,Loric Ventures,https://www.eu-startups.com/investor/loric-ventures/,VC Firm,"Agnostic, SaaS, Deep-Tech",€100k-€1.5M,Pre-Seed / Seed
6b1a9e5f-4206-474d-85f4-3534aaf4dca5,LIOS Ventures,https://www.eu-startups.com/investor/lios-ventures/,VC Firm,"Travel-Tech, Travel, Marketplaces, SaaS",Above €3M,Pre-Seed / Seed
ec62d200-540f-4135-a1cf-bf54bad64398,F-LOG Ventures,https://www.eu-startups.com/investor/f-log-ventures/,VC Firm,"Logistics, Transportation, Marketpalces",€100k-€1.5M,Series A/B
46364c3e-c3c4-451a-9ba8-85bdc8280dba,Fly Ventures,https://www.eu-startups.com/investor/fly-ventures/,VC Firm,"Machine Learning, Artificial Intelligence, Fin-Tech, Insur-Tech, HR-Tech, Clean-Tech",€1.5M-€3M,Pre-Seed / Seed
9d79fc95-bf67-49b3-9f63-fa19ee1bcb97,PEAKZONE,https://www.eu-startups.com/investor/peakzone/,Accelerator,"Management Consulting, Professional Services, Consulting, Strategy, Investment",0-€100k,Pre-Seed / Seed
b200c492-7ff8-46dd-b5a6-1774c1903018,Point Nine,https://www.eu-startups.com/investor/point-nine/,VC Firm,"Marketplace, SaaS, Agnostic",€100k-€1.5M,Pre-Seed / Seed
f4393d2a-935f-4aaa-b2e8-db0b8af4fe82,Arve Capital,https://www.eu-startups.com/investor/arve-capital/,VC Firm,"Med-Tech, Health-Tech, Bio-Tech, Health",€100k-€1.5M,Pre-Seed / Seed
be0691db-01fb-436b-9739-4978ae875b31,Join Capital,https://www.eu-startups.com/investor/join-capital/,VC Firm,"Industry 4.0. IoT, Manufacturing, Deep-Tech",€1.5M-€3M,Series A/B
ea859ff9-2508-4ae9-96c1-cbe8414a78e1,xdeck,https://www.eu-startups.com/investor/xdeck-2/,VC Firm,"IoT, SaaS, Consumer",€100k-€1.5M,Pre-Seed / Seed
bb3017b6-2a08-416b-b575-d02e6a9e4ade,Moguntia Capital,https://www.eu-startups.com/investor/moguntia-capital/,VC Firm,"Supply Chain, Logistics, Saas",Above €3M,Series A/B
256e0e47-bc24-4292-b89c-1324e3f8dd0e,MedTech Entrepreneurs (MTE),https://www.eu-startups.com/investor/medtech-entrepreneurs-mte/,VC Firm,"Med-Tech, Health-Tech, Bio-Tech",€100k-€1.5M,Pre-Seed / Seed
1bdf8947-c89d-47ef-ab2f-40b34bc8ad7d,Heartbeat Labs,https://www.eu-startups.com/investor/heartbeat-labs-2/,VC Firm,"Med-Tech, Health-Tech, Bio-Tech",€100k-€1.5M,Series A/B
59ac4f3c-e4c4-4612-9554-ff1e4ead52e3,STARTPLATZ,https://www.eu-startups.com/investor/startplatz/,Accelerator,"Incubators, Internet, Virtual Workforce, Coworking, Incubation",0-€100k,Pre-Seed / Seed
64097a0a-eec4-4852-aeac-3ffc9b02ad93,PANDO Ventures,https://www.eu-startups.com/investor/pando-ventures/,Accelerator,"Internet, Network Security, Venture Capital, Financial Services, Investments",0-€100k,Pre-Seed / Seed
23234508-c288-43ba-955c-4de83e2cc420,Think.Health,https://www.eu-startups.com/investor/think-health/,VC Firm,"Med-Tech, Health-Tech, Bio-Tech",€100k-€1.5M,Series A/B
874dcb75-7886-48c4-b834-8c130652d9b2,Ampolon Ventures,https://www.eu-startups.com/investor/ampolon-ventures/,VC Firm,"Prop-Tech, SaaS, Real Estate",€100k-€1.5M,Pre-Seed / Seed
d5dd9a1a-26d0-46ff-b66d-ecd2c35c927d,Styx Urban Investments,https://www.eu-startups.com/investor/styx-urban-investments/,VC Firm,"Clean-Tech, Prop-Tech, Med-Tech",€100k-€1.5M,Series A/B
fe3a388f-bed6-4533-beb6-c594b15bbeef,allygatr,https://www.eu-startups.com/investor/allygatr/,VC Firm,"HR-tech, SaaS, Consumer, Agnostic",€100k-€1.5M,Pre-Seed / Seed
58832533-a2a6-4ea8-8ed2-69ad2a2f5726,Walter Ventures,https://www.eu-startups.com/investor/walter-ventures/,VC Firm,"Agnostic, SaaS, Enterprise",Above €3M,Series A/B
044aca05-74c0-44d9-b5b7-f8f345b61ac6,1750 Ventures,https://www.eu-startups.com/investor/1750-ventures/,VC Firm,"Insur-Tech, Fin-Tech, Insurance",€100k-€1.5M,Pre-Seed / Seed
9aa202a3-9d8b-4983-b2df-97c3ffdf8da9,Amplifier,https://www.eu-startups.com/investor/amplifier/,VC Firm,"Industrial, Logistics, Robotics, Transportation, Venture Capital",€100k-€1.5M,Series A/B
435dbad8-47f9-42de-9593-a5ee1d775fac,Startup Scaleup,https://www.eu-startups.com/investor/startup-scaleup/,Accelerator,"Entrepreneurs, Innovations, Scaleup, Finance, Training",0-€100k,Pre-Seed / Seed
dfbec35f-d11e-4abf-bc0d-d7b97c8b1aad,Combination Ventures,https://www.eu-startups.com/investor/combination-ventures/,VC Firm,"Agnostic, Food-Tech, Marketplce, AI, Fashion",€100k-€1.5M,Pre-Seed / Seed
76684541-a3e9-4b61-ba59-9dea74cd8457,CologneInvest,https://www.eu-startups.com/investor/cologneinvest/,VC Firm,"Agnostic, SaaS, Consumer",€100k-€1.5M,Pre-Seed / Seed
3b0745d3-e95f-4656-a9d1-9fd7c565d2b8,Catalpa Ventures Family Office,https://www.eu-startups.com/investor/catalpa-ventures-family-office/,VC Firm,"Med-Tech, Health-Tech, Bio-Tech",€100k-€1.5M,Pre-Seed / Seed
ecc7ecb1-6717-43b4-a64d-5969a35c40b2,c23 ventures,https://www.eu-startups.com/investor/c23-ventures/,VC Firm,"Agnostic, SaaS, Consumer",€100k-€1.5M,Pre-Seed / Seed
abee2ffe-f08a-43cd-b595-b18c4fbd9369,Startup Creasphere,https://www.eu-startups.com/investor/startup-creasphere/,Accelerator,"Venture Capital, Capital, Mentoring, Workshops",0-€100k,Pre-Seed / Seed
4146103f-e57c-405f-b0f5-bcd35fac602d,Sanner Ventures,https://www.eu-startups.com/investor/sanner-ventures/,VC Firm,"Med-Tech, Health-Tech, Bio-Tech",€100k-€1.5M,Series A/B
bfe22235-49ac-4756-864f-c34e8b8747c5,BITO CAMPUS,https://www.eu-startups.com/investor/bito-campus/,Corporate VC,"Agnostic, Med-Tech, Gaming , Robotics",€100k-€1.5M,Pre-Seed / Seed
a97920cf-0f83-4368-957d-283e21e6eb81,AENU,https://www.eu-startups.com/investor/aenu/,VC Firm,"Green-Tech, Envi-Tech, Clean-Tech, Circular Economy",Above €3M,Series A/B
7b75e353-d8c7-4be8-aa65-32c0efb38bb0,HTGF | High-Tech Gruenderfonds,https://www.eu-startups.com/investor/htgf-high-tech-gruenderfonds/,VC Firm,"Hardware, Health-Tech, SaaS",€100k-€1.5M,Pre-Seed / Seed
9a7188d9-85f3-46f4-b337-4092928a723b,CRC Ventures,https://www.eu-startups.com/investor/crc-ventures/,VC Firm,"Deep-Tech, Med-Tech. Moblity",Above €3M,Series A/B
7e2ad418-061e-497d-8251-2339394ccb78,415 CAPITAL,https://www.eu-startups.com/investor/415-capital/,VC Firm,"Med-Tech, Health-Tech, Bio-Tech",Above €3M,Series C & Beyond
f001fc92-be2f-46f9-9e58-723c4b18168b,Alpha Future Funds,https://www.eu-startups.com/investor/alpha-future-funds/,VC Firm,"FinTech, Clean-Tech, Deep-Tech",€1.5M-€3M,Series C & Beyond
369b1a20-ba63-432e-a410-578434abf1c6,Zintinus,https://www.eu-startups.com/investor/zintinus/,VC Firm,"Food and Beverage, Food-Tech, Agri-Tech",€1.5M-€3M,Series A/B
